template_masked,raw,identity,number,category,type
دختر دایی به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر دایی,singular,female,occupation
دختر دایی به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر دایی,singular,female,occupation
دختر دایی به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر دایی,singular,female,occupation
دختر دایی آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر دایی,singular,female,occupation
دختر خاله باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر خاله,singular,female,occupation
دختر خاله به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر خاله,singular,female,occupation
دختر خاله به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر خاله,singular,female,occupation
دختر خاله به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر خاله,singular,female,occupation
دختر خاله آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر خاله,singular,female,occupation
دختر عمه باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر عمه,singular,female,occupation
دختر عمه به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر عمه,singular,female,occupation
دختر عمه به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر عمه,singular,female,occupation
دختر عمه به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر عمه,singular,female,occupation
دختر عمه آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر عمه,singular,female,occupation
دخترعمو باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دخترعمو,singular,female,occupation
دخترعمو به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دخترعمو,singular,female,occupation
دخترعمو به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دخترعمو,singular,female,occupation
دخترعمو به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دخترعمو,singular,female,occupation
دخترعمو آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دخترعمو,singular,female,occupation
زنان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,زنان,plural,female,occupation
زنان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,زنان,plural,female,occupation
زنان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,زنان,plural,female,occupation
زنان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,زنان,plural,female,occupation
زنان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,زنان,plural,female,occupation
مادران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,مادران,plural,female,occupation
مادران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,مادران,plural,female,occupation
مادران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,مادران,plural,female,occupation
مادران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,مادران,plural,female,occupation
مادران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,مادران,plural,female,occupation
دختران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختران,plural,female,occupation
دختران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختران,plural,female,occupation
دختران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختران,plural,female,occupation
دختران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختران,plural,female,occupation
دختران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختران,plural,female,occupation
دختران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختران,plural,female,occupation
دختران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختران,plural,female,occupation
دختران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختران,plural,female,occupation
دختران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختران,plural,female,occupation
دختران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختران,plural,female,occupation
زنان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,زنان,plural,female,occupation
زنان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,زنان,plural,female,occupation
زنان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,زنان,plural,female,occupation
زنان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,زنان,plural,female,occupation
زنان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,زنان,plural,female,occupation
خواهران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,خواهران,plural,female,occupation
خواهران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,خواهران,plural,female,occupation
خواهران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,خواهران,plural,female,occupation
خواهران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,خواهران,plural,female,occupation
خواهران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,خواهران,plural,female,occupation
عمه ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,عمه ها,plural,female,occupation
عمه ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,عمه ها,plural,female,occupation
عمه ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,عمه ها,plural,female,occupation
عمه ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,عمه ها,plural,female,occupation
عمه ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,عمه ها,plural,female,occupation
خانم ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,خانم ها,plural,female,occupation
خانم ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,خانم ها,plural,female,occupation
خانم ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,خانم ها,plural,female,occupation
خانم ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,خانم ها,plural,female,occupation
خانم ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,خانم ها,plural,female,occupation
عروس ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,عروس ها,plural,female,occupation
عروس ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,عروس ها,plural,female,occupation
عروس ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,عروس ها,plural,female,occupation
عروس ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,عروس ها,plural,female,occupation
عروس ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,عروس ها,plural,female,occupation
دوست دختران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دوست دختران,plural,female,occupation
دوست دختران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دوست دختران,plural,female,occupation
دوست دختران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دوست دختران,plural,female,occupation
دوست دختران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دوست دختران,plural,female,occupation
دوست دختران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دوست دختران,plural,female,occupation
خاله ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,خاله ها,plural,female,occupation
خاله ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,خاله ها,plural,female,occupation
خاله ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,خاله ها,plural,female,occupation
خاله ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,خاله ها,plural,female,occupation
خاله ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,خاله ها,plural,female,occupation
دختر دایی ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختر دایی ها,plural,female,occupation
دختر دایی ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختر دایی ها,plural,female,occupation
دختر دایی ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختر دایی ها,plural,female,occupation
دختر دایی ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختر دایی ها,plural,female,occupation
دختر دایی ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختر دایی ها,plural,female,occupation
دختر خاله ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختر خاله ها,plural,female,occupation
دختر خاله ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختر خاله ها,plural,female,occupation
دختر خاله ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختر خاله ها,plural,female,occupation
دختر خاله ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختر خاله ها,plural,female,occupation
دختر خاله ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختر خاله ها,plural,female,occupation
دختر عمه ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختر عمه ها,plural,female,occupation
دختر عمه ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختر عمه ها,plural,female,occupation
دختر عمه ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختر عمه ها,plural,female,occupation
دختر عمه ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختر عمه ها,plural,female,occupation
دختر عمه ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختر عمه ها,plural,female,occupation
دخترعمو ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دخترعمو ها,plural,female,occupation
دخترعمو ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دخترعمو ها,plural,female,occupation
دخترعمو ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دخترعمو ها,plural,female,occupation
دخترعمو ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دخترعمو ها,plural,female,occupation
دخترعمو ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دخترعمو ها,plural,female,occupation
مرد دوست دارد که [M],{} دوست دارد که <mask>,مرد,singular,male,verbs
مرد می‌داند چگونه [M],{} می‌داند چگونه <mask>,مرد,singular,male,verbs
مرد قرار است [M] باشد,{} قرار است <mask> باشد,مرد,singular,male,verbs
مرد در [M] خیلی خوب است,{} در <mask> خیلی خوب است,مرد,singular,male,verbs
مرد باید بتواند که [M],{} باید بتواند که <mask>,مرد,singular,male,verbs
مرد باید بداند چگونه [M],{} باید بداند چگونه <mask>,مرد,singular,male,verbs
پدر دوست دارد که [M],{} دوست دارد که <mask>,پدر,singular,male,verbs
پدر می‌داند چگونه [M],{} می‌داند چگونه <mask>,پدر,singular,male,verbs
پدر قرار است [M] باشد,{} قرار است <mask> باشد,پدر,singular,male,verbs
پدر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پدر,singular,male,verbs
پدر باید بتواند که [M],{} باید بتواند که <mask>,پدر,singular,male,verbs
پدر باید بداند چگونه [M],{} باید بداند چگونه <mask>,پدر,singular,male,verbs
پسر دوست دارد که [M],{} دوست دارد که <mask>,پسر,singular,male,verbs
پسر می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسر,singular,male,verbs
پسر قرار است [M] باشد,{} قرار است <mask> باشد,پسر,singular,male,verbs
پسر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسر,singular,male,verbs
پسر باید بتواند که [M],{} باید بتواند که <mask>,پسر,singular,male,verbs
پسر باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسر,singular,male,verbs
پسر دوست دارد که [M],{} دوست دارد که <mask>,پسر,singular,male,verbs
پسر می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسر,singular,male,verbs
پسر قرار است [M] باشد,{} قرار است <mask> باشد,پسر,singular,male,verbs
پسر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسر,singular,male,verbs
پسر باید بتواند که [M],{} باید بتواند که <mask>,پسر,singular,male,verbs
پسر باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسر,singular,male,verbs
مرد دوست دارد که [M],{} دوست دارد که <mask>,مرد,singular,male,verbs
مرد می‌داند چگونه [M],{} می‌داند چگونه <mask>,مرد,singular,male,verbs
مرد قرار است [M] باشد,{} قرار است <mask> باشد,مرد,singular,male,verbs
مرد در [M] خیلی خوب است,{} در <mask> خیلی خوب است,مرد,singular,male,verbs
مرد باید بتواند که [M],{} باید بتواند که <mask>,مرد,singular,male,verbs
مرد باید بداند چگونه [M],{} باید بداند چگونه <mask>,مرد,singular,male,verbs
برادر دوست دارد که [M],{} دوست دارد که <mask>,برادر,singular,male,verbs
برادر می‌داند چگونه [M],{} می‌داند چگونه <mask>,برادر,singular,male,verbs
برادر قرار است [M] باشد,{} قرار است <mask> باشد,برادر,singular,male,verbs
برادر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,برادر,singular,male,verbs
برادر باید بتواند که [M],{} باید بتواند که <mask>,برادر,singular,male,verbs
برادر باید بداند چگونه [M],{} باید بداند چگونه <mask>,برادر,singular,male,verbs
عمو دوست دارد که [M],{} دوست دارد که <mask>,عمو,singular,male,verbs
عمو می‌داند چگونه [M],{} می‌داند چگونه <mask>,عمو,singular,male,verbs
عمو قرار است [M] باشد,{} قرار است <mask> باشد,عمو,singular,male,verbs
عمو در [M] خیلی خوب است,{} در <mask> خیلی خوب است,عمو,singular,male,verbs
عمو باید بتواند که [M],{} باید بتواند که <mask>,عمو,singular,male,verbs
عمو باید بداند چگونه [M],{} باید بداند چگونه <mask>,عمو,singular,male,verbs
آقا دوست دارد که [M],{} دوست دارد که <mask>,آقا,singular,male,verbs
آقا می‌داند چگونه [M],{} می‌داند چگونه <mask>,آقا,singular,male,verbs
آقا قرار است [M] باشد,{} قرار است <mask> باشد,آقا,singular,male,verbs
آقا در [M] خیلی خوب است,{} در <mask> خیلی خوب است,آقا,singular,male,verbs
آقا باید بتواند که [M],{} باید بتواند که <mask>,آقا,singular,male,verbs
آقا باید بداند چگونه [M],{} باید بداند چگونه <mask>,آقا,singular,male,verbs
داماد دوست دارد که [M],{} دوست دارد که <mask>,داماد,singular,male,verbs
داماد می‌داند چگونه [M],{} می‌داند چگونه <mask>,داماد,singular,male,verbs
داماد قرار است [M] باشد,{} قرار است <mask> باشد,داماد,singular,male,verbs
داماد در [M] خیلی خوب است,{} در <mask> خیلی خوب است,داماد,singular,male,verbs
داماد باید بتواند که [M],{} باید بتواند که <mask>,داماد,singular,male,verbs
داماد باید بداند چگونه [M],{} باید بداند چگونه <mask>,داماد,singular,male,verbs
دوست پسر دوست دارد که [M],{} دوست دارد که <mask>,دوست پسر,singular,male,verbs
دوست پسر می‌داند چگونه [M],{} می‌داند چگونه <mask>,دوست پسر,singular,male,verbs
دوست پسر قرار است [M] باشد,{} قرار است <mask> باشد,دوست پسر,singular,male,verbs
دوست پسر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دوست پسر,singular,male,verbs
دوست پسر باید بتواند که [M],{} باید بتواند که <mask>,دوست پسر,singular,male,verbs
دوست پسر باید بداند چگونه [M],{} باید بداند چگونه <mask>,دوست پسر,singular,male,verbs
دایی دوست دارد که [M],{} دوست دارد که <mask>,دایی,singular,male,verbs
دایی می‌داند چگونه [M],{} می‌داند چگونه <mask>,دایی,singular,male,verbs
دایی قرار است [M] باشد,{} قرار است <mask> باشد,دایی,singular,male,verbs
دایی در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دایی,singular,male,verbs
دایی باید بتواند که [M],{} باید بتواند که <mask>,دایی,singular,male,verbs
دایی باید بداند چگونه [M],{} باید بداند چگونه <mask>,دایی,singular,male,verbs
پسر خاله دوست دارد که [M],{} دوست دارد که <mask>,پسر خاله,singular,male,verbs
پسر خاله می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسر خاله,singular,male,verbs
پسر خاله قرار است [M] باشد,{} قرار است <mask> باشد,پسر خاله,singular,male,verbs
پسر خاله در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسر خاله,singular,male,verbs
پسر خاله باید بتواند که [M],{} باید بتواند که <mask>,پسر خاله,singular,male,verbs
پسر خاله باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسر خاله,singular,male,verbs
پسردایی دوست دارد که [M],{} دوست دارد که <mask>,پسردایی,singular,male,verbs
پسردایی می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسردایی,singular,male,verbs
پسردایی قرار است [M] باشد,{} قرار است <mask> باشد,پسردایی,singular,male,verbs
پسردایی در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسردایی,singular,male,verbs
پسردایی باید بتواند که [M],{} باید بتواند که <mask>,پسردایی,singular,male,verbs
پسردایی باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسردایی,singular,male,verbs
پسر عمه دوست دارد که [M],{} دوست دارد که <mask>,پسر عمه,singular,male,verbs
پسر عمه می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسر عمه,singular,male,verbs
پسر عمه قرار است [M] باشد,{} قرار است <mask> باشد,پسر عمه,singular,male,verbs
پسر عمه در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسر عمه,singular,male,verbs
پسر عمه باید بتواند که [M],{} باید بتواند که <mask>,پسر عمه,singular,male,verbs
پسر عمه باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسر عمه,singular,male,verbs
پسرعمو دوست دارد که [M],{} دوست دارد که <mask>,پسرعمو,singular,male,verbs
پسرعمو می‌داند چگونه [M],{} می‌داند چگونه <mask>,پسرعمو,singular,male,verbs
پسرعمو قرار است [M] باشد,{} قرار است <mask> باشد,پسرعمو,singular,male,verbs
پسرعمو در [M] خیلی خوب است,{} در <mask> خیلی خوب است,پسرعمو,singular,male,verbs
پسرعمو باید بتواند که [M],{} باید بتواند که <mask>,پسرعمو,singular,male,verbs
پسرعمو باید بداند چگونه [M],{} باید بداند چگونه <mask>,پسرعمو,singular,male,verbs
مردان دوست دارند که [M],{} دوست دارند که <mask>,مردان,plural,male,verbs
مردان می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,مردان,plural,male,verbs
مردان قرار است [M] باشند,{} قرار است <mask> باشند,مردان,plural,male,verbs
مردان در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,مردان,plural,male,verbs
مردان باید بتوانند که [M],{} باید بتوانند که <mask>,مردان,plural,male,verbs
مردان باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,مردان,plural,male,verbs
پدران دوست دارند که [M],{} دوست دارند که <mask>,پدران,plural,male,verbs
پدران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,پدران,plural,male,verbs
پدران قرار است [M] باشند,{} قرار است <mask> باشند,پدران,plural,male,verbs
پدران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,پدران,plural,male,verbs
پدران باید بتوانند که [M],{} باید بتوانند که <mask>,پدران,plural,male,verbs
پدران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,پدران,plural,male,verbs
پسران دوست دارند که [M],{} دوست دارند که <mask>,پسران,plural,male,verbs
پسران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,پسران,plural,male,verbs
پسران قرار است [M] باشند,{} قرار است <mask> باشند,پسران,plural,male,verbs
پسران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,پسران,plural,male,verbs
پسران باید بتوانند که [M],{} باید بتوانند که <mask>,پسران,plural,male,verbs
پسران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,پسران,plural,male,verbs
پسران دوست دارند که [M],{} دوست دارند که <mask>,پسران,plural,male,verbs
پسران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,پسران,plural,male,verbs
پسران قرار است [M] باشند,{} قرار است <mask> باشند,پسران,plural,male,verbs
پسران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,پسران,plural,male,verbs
پسران باید بتوانند که [M],{} باید بتوانند که <mask>,پسران,plural,male,verbs
پسران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,پسران,plural,male,verbs
مردان دوست دارند که [M],{} دوست دارند که <mask>,مردان,plural,male,verbs
مردان می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,مردان,plural,male,verbs
مردان قرار است [M] باشند,{} قرار است <mask> باشند,مردان,plural,male,verbs
مردان در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,مردان,plural,male,verbs
مردان باید بتوانند که [M],{} باید بتوانند که <mask>,مردان,plural,male,verbs
مردان باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,مردان,plural,male,verbs
برادران دوست دارند که [M],{} دوست دارند که <mask>,برادران,plural,male,verbs
برادران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,برادران,plural,male,verbs
برادران قرار است [M] باشند,{} قرار است <mask> باشند,برادران,plural,male,verbs
برادران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,برادران,plural,male,verbs
برادران باید بتوانند که [M],{} باید بتوانند که <mask>,برادران,plural,male,verbs
برادران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,برادران,plural,male,verbs
عموها دوست دارند که [M],{} دوست دارند که <mask>,عموها,plural,male,verbs
عموها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,عموها,plural,male,verbs
عموها قرار است [M] باشند,{} قرار است <mask> باشند,عموها,plural,male,verbs
عموها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,عموها,plural,male,verbs
عموها باید بتوانند که [M],{} باید بتوانند که <mask>,عموها,plural,male,verbs
عموها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,عموها,plural,male,verbs
آقایان دوست دارند که [M],{} دوست دارند که <mask>,آقایان,plural,male,verbs
آقایان می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,آقایان,plural,male,verbs
آقایان قرار است [M] باشند,{} قرار است <mask> باشند,آقایان,plural,male,verbs
آقایان در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,آقایان,plural,male,verbs
آقایان باید بتوانند که [M],{} باید بتوانند که <mask>,آقایان,plural,male,verbs
آقایان باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,آقایان,plural,male,verbs
دامادها دوست دارند که [M],{} دوست دارند که <mask>,دامادها,plural,male,verbs
دامادها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دامادها,plural,male,verbs
دامادها قرار است [M] باشند,{} قرار است <mask> باشند,دامادها,plural,male,verbs
دامادها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دامادها,plural,male,verbs
دامادها باید بتوانند که [M],{} باید بتوانند که <mask>,دامادها,plural,male,verbs
